"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Prisma", "JavaScript", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\permissions\dto\create-permission.dto.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\permissions\guards\permission.guard.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 9, 10, 79
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\permissions\permissions.controller.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\permissions\permissions.module.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\permissions\permissions.service.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 2, 10, 66
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\roles\dto\create-update-role.dto.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\roles\roles.controller.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 1, 8, 62
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\roles\roles.module.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\roles\roles.service.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 6, 8, 99
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\users\dto\create-user.dto.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 7, 36
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\users\dto\update-user.dto.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 8, 34
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\users\users.controller.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 10, 81
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\users\users.module.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\users\users.service.ts", "TypeScript", 0, 0, 151, 0, 0, 0, 0, 8, 16, 175
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\utils\bycrpt.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\test\app.e2e-spec.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\tsconfig.build.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"Total", "-", 14018, 21, 7194, 94, 940, 68, 59, 3353, 1604, 27351
